title,slug,category,page_url,source_url,pdf_url,local_folder,status,main_tex,merged_tex,note_path,source_type,last_verified
Titans: Learning to Memorize at Test Time,titans_learning_to_memorize_at_test_time,frontier_core,https://arxiv.org/abs/2501.00663,https://arxiv.org/e-print/2501.00663,https://arxiv.org/pdf/2501.00663,nested_learning_textbook/papers/titans_learning_to_memorize_at_test_time,source_and_merged,main.tex,merged_paper.tex,nested_learning_textbook/notes/papers/titans_learning_to_memorize_at_test_time.md,tex,2026-04-03
Nested Learning: The Illusion of Deep Learning Architectures,nested_learning_the_illusion_of_deep_learning_architectures,frontier_core,https://arxiv.org/abs/2512.24695,https://arxiv.org/e-print/2512.24695,https://arxiv.org/pdf/2512.24695,nested_learning_textbook/papers/nested_learning_the_illusion_of_deep_learning_architectures,source_and_merged,main.tex,merged_paper.tex,nested_learning_textbook/notes/papers/nested_learning_the_illusion_of_deep_learning_architectures.md,tex,2026-04-03
Test-time regression: a unifying framework for designing sequence models with associative memory,test_time_regression_a_unifying_framework_for_designing_sequence_models_with_associative_memory,frontier_core,https://arxiv.org/abs/2501.12352,https://arxiv.org/e-print/2501.12352,https://arxiv.org/pdf/2501.12352,nested_learning_textbook/papers/test_time_regression_a_unifying_framework_for_designing_sequence_models_with_associative_memory,source_and_merged,main.tex,merged_paper.tex,nested_learning_textbook/notes/papers/test_time_regression_a_unifying_framework_for_designing_sequence_models_with_associative_memory.md,tex,2026-04-03
"It's All Connected: A Journey Through Test-Time Memorization, Attentional Bias, Retention, and Online Optimization",its_all_connected_a_journey_through_test_time_memorization_attentional_bias_retention_and_online_optimization,frontier_core,https://arxiv.org/abs/2504.13173,https://arxiv.org/e-print/2504.13173,https://arxiv.org/pdf/2504.13173,nested_learning_textbook/papers/its_all_connected_a_journey_through_test_time_memorization_attentional_bias_retention_and_online_optimization,source_and_merged,main.tex,merged_paper.tex,nested_learning_textbook/notes/papers/its_all_connected_a_journey_through_test_time_memorization_attentional_bias_retention_and_online_optimization.md,tex,2026-04-03
Dynamic Evaluation of Neural Sequence Models,dynamic_evaluation_of_neural_sequence_models,ttt_early,https://arxiv.org/abs/1709.07432,https://arxiv.org/e-print/1709.07432,https://arxiv.org/pdf/1709.07432,nested_learning_textbook/papers/dynamic_evaluation_of_neural_sequence_models,source_and_merged,main.tex,merged_paper.tex,nested_learning_textbook/notes/papers/dynamic_evaluation_of_neural_sequence_models.md,tex,2026-04-03
Test-Time Training with Self-Supervision for Generalization under Distribution Shifts,test_time_training_with_self_supervision_for_generalization_under_distribution_shifts,ttt_early,https://arxiv.org/abs/1909.13231,https://arxiv.org/e-print/1909.13231,https://arxiv.org/pdf/1909.13231,nested_learning_textbook/papers/test_time_training_with_self_supervision_for_generalization_under_distribution_shifts,source_and_merged,ttt.tex,merged_paper.tex,nested_learning_textbook/notes/papers/test_time_training_with_self_supervision_for_generalization_under_distribution_shifts.md,tex,2026-04-03
Model-Agnostic Meta-Learning for Fast Adaptation of Deep Networks,model_agnostic_meta_learning_for_fast_adaptation_of_deep_networks,meta_learning,https://arxiv.org/abs/1703.03400,https://arxiv.org/e-print/1703.03400,https://arxiv.org/pdf/1703.03400,nested_learning_textbook/papers/model_agnostic_meta_learning_for_fast_adaptation_of_deep_networks,source_and_merged,old_notes.tex,merged_paper.tex,nested_learning_textbook/notes/papers/model_agnostic_meta_learning_for_fast_adaptation_of_deep_networks.md,tex,2026-04-03
Optimization as a Model for Few-Shot Learning,optimization_as_a_model_for_few_shot_learning,meta_learning,https://openreview.net/forum?id=rJY0-Kcll,,https://openreview.net/pdf?id=rJY0-Kcll,,missing,,,nested_learning_textbook/notes/papers/optimization_as_a_model_for_few_shot_learning.md,none,2026-04-03
Learning to learn by gradient descent by gradient descent,learning_to_learn_by_gradient_descent_by_gradient_descent,meta_learning,https://arxiv.org/abs/1606.04474,https://arxiv.org/e-print/1606.04474,https://arxiv.org/pdf/1606.04474,nested_learning_textbook/papers/learning_to_learn_by_gradient_descent_by_gradient_descent,source_and_merged,learning-to-learn.tex,merged_paper.tex,nested_learning_textbook/notes/papers/learning_to_learn_by_gradient_descent_by_gradient_descent.md,tex,2026-04-03
Meta-Learning with Memory-Augmented Neural Networks,meta_learning_with_memory_augmented_neural_networks,memory_meta_learning,https://proceedings.mlr.press/v48/santoro16.html,,https://proceedings.mlr.press/v48/santoro16.pdf,,pdf_only,,,nested_learning_textbook/notes/papers/meta_learning_with_memory_augmented_neural_networks.md,pdf,2026-04-03
